Ciclo 0213 | Temp:    0.18 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1262s
Ciclo 0214 | Temp:    0.17 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1267s
Ciclo 0215 | Temp:    0.16 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1272s
Ciclo 0216 | Temp:    0.15 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1277s
Ciclo 0217 | Temp:    0.15 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1282s
Ciclo 0218 | Temp:    0.14 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1287s
Ciclo 0219 | Temp:    0.13 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1292s
Ciclo 0220 | Temp:    0.13 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1297s
Ciclo 0221 | Temp:    0.12 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1303s
Ciclo 0222 | Temp:    0.11 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1308s
Ciclo 0223 | Temp:    0.11 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1313s
Ciclo 0224 | Temp:    0.10 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1319s
Ciclo 0225 | Temp:    0.10 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1324s
Ciclo 0226 | Temp:    0.09 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1329s
Ciclo 0227 | Temp:    0.09 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1334s
Ciclo 0228 | Temp:    0.08 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1339s
Ciclo 0229 | Temp:    0.08 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1344s
Ciclo 0230 | Temp:    0.08 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1349s
Ciclo 0231 | Temp:    0.07 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1354s
Ciclo 0232 | Temp:    0.07 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1360s
Ciclo 0233 | Temp:    0.06 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1365s
Ciclo 0234 | Temp:    0.06 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1370s
Ciclo 0235 | Temp:    0.06 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1376s
Ciclo 0236 | Temp:    0.06 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1381s
Ciclo 0237 | Temp:    0.05 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1387s
Ciclo 0238 | Temp:    0.05 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1392s
Ciclo 0239 | Temp:    0.05 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1398s
Ciclo 0240 | Temp:    0.05 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1405s
Ciclo 0241 | Temp:    0.04 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1411s
Ciclo 0242 | Temp:    0.04 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1418s
Ciclo 0243 | Temp:    0.04 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1425s
Ciclo 0244 | Temp:    0.04 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1431s
Ciclo 0245 | Temp:    0.03 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1438s
Ciclo 0246 | Temp:    0.03 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1444s
Ciclo 0247 | Temp:    0.03 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1451s
Ciclo 0248 | Temp:    0.03 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1457s
Ciclo 0249 | Temp:    0.03 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1463s
Ciclo 0250 | Temp:    0.03 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1470s
Ciclo 0251 | Temp:    0.03 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1476s
Ciclo 0252 | Temp:    0.02 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1482s
Ciclo 0253 | Temp:    0.02 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1489s
Ciclo 0254 | Temp:    0.02 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1495s
Ciclo 0255 | Temp:    0.02 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1502s
Ciclo 0256 | Temp:    0.02 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1509s
Ciclo 0257 | Temp:    0.02 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1516s
Ciclo 0258 | Temp:    0.02 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1523s
Ciclo 0259 | Temp:    0.02 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1531s
Ciclo 0260 | Temp:    0.02 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1538s
Ciclo 0261 | Temp:    0.02 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1545s
Ciclo 0262 | Temp:    0.01 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1551s
Ciclo 0263 | Temp:    0.01 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1557s
Ciclo 0264 | Temp:    0.01 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1564s
Ciclo 0265 | Temp:    0.01 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1570s
Ciclo 0266 | Temp:    0.01 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1576s
Ciclo 0267 | Temp:    0.01 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1582s
